id,Job Type,Vendor,Contact,Phone,Email
13,Roofing,Kodiak Roofing,Jade,509-487-9910,kodiakroofing@hotmail.com
,,,,,
,,Diamond Construction ,Danik,509-690-2755,wriddle@cavalierradon.com
,,,,,
,,,,,
,,,,,
14,Electrical,Concord Electric,John,509-216-2071,concordelectricllc@gmail.com 
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
15,Siding,ProBuild,Mark,509-924-2420,mark.newman@probuild.com
,,,,,
,,Parr Lumber,Adam,509-922-7277,adam.brenden@parr.com
,,,,,
,,Coeur d'Alene Builder Supply,Brandon,208-667-6481,mikeu@cdabuilders.com
,,,,,
,,,,,
,,,,,
16,Sewer & Septic,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
17,Water hook ups- wells & pumps,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
18,Insulation,"Specialty Insulation, Inc.",Norm,509-535-1313,normt007@aol.com
,,,,,
,,Professional Insulation,Gary,509-325-5073,mkmpcm@comcast.net
,,,,,
,,,,,
,,,,,
19,Drywall,Myers Drywall LLC,Tim,509-951-2775,myers_drywall@comcast.net
,,,,,
,,Extreme Drywall,Ricardo,208-661-2416,extremedrywallfinishes@yahoo.com
,,,,,
,,,,,
,,,,,
20,Interior Painting ,Quality Painting & Coating Inc.,Sean,509-951-6382,qualitypaintingcoatings@gmail.com
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20.5,Interior Woodwork Finish,Quality Painting & Coating Inc.,Sean,509-951-6382,qualitypaintingcoatings@gmail.com
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
21,Exterior Painting,Quality Painting & Coating Inc.,Sean,509-951-6382,qualitypaintingcoatings@gmail.com
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
22,Basement Concrete Flatwork,CAD of Spokane Inc.,Scott,509-924-8868,cadman@ptera.net
,,,,,
,,Bordwell Concrete Inc.,Chad,509-993-1326,bordwellconcreteinc@gmail.com 
,,,,,
,,,,,
,,,,,
24,Cabinets,Huntwood Custom Cabinets,Jamie Kane,509-994-9692,jamiekanehw@hotmail.com
,,,,,
,,Granite and More Inc.,Anton,509-270-0816,anton@nwgraniteandmore.com
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
25,Interior Door & Trim Material,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
26,Hard Surfaces,United Floor Covering LLC,John/Amanda,509-328-3052,amanda@unitedfloorcovering.com
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
27,Appliances,Fred's Appliance ,Steve/ Nick,509-327-5536,sellis@fredsappliances.com
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
28,Light Fixtures,Spokane Lighting & Design,Bob,509-344-4001,spokanelighting@aol.com 
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
30,Finish Hardware,Spokane Hardware,Dave,509-535-1663,andrew@spokanehardware.com
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
31,Construction Cleaning ,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
33,Utilities,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
34,Radon,Cavalier Corporation,Sylvia,509-923-6217,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
35,Landscaping ,Four Season's Landscaping Inc.,Jeremy,509-489-5707,jeremy@4seasonslandscape.net
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
36,Construction Insurance ,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
42,Closet Hardware,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
43,Gutters,Cascade Rain Gutters,,509-209-9656,plybonthomas@yahoo.com
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
47,Decks,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
48,Exterior Concrete Flatwork,CAD of Spokane Inc.,Scott,509-924-8868,cadman@ptera.net
,,,,,
,,Bordwell Concrete Inc.,Chad,509-993-1326,bordwellconcreteinc@gmail.com 
,,,,,
,,,,,
,,,,,
49,Exterior Culture Stone ,Cutting Edge Masonry,Terry,509-953-3282,cuttingedgemasonryllc@yahoo.com
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
51,Porta Potty,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
52,Dump Fees,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
53,Rental Equipment ,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
59,In House Labor,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
69,Mileage ,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,NL Construction LLC,Nick Lgurdyumov,509-290-2042,lgurdyumov@yahoo.com
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,Discount Lumber,Joe,,joediscountlumber@yahoo.com 
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,Unlisted Vendors found on Vendor Balances Report ,,,
,,,,,
,,,,,
,,,,,
,,Avery Appliance Service,,509-999-7664,
,,,,,
,,The Sherwin-Williams Co.,,,
,,,,,
,,California Contractors Supplies Inc.,,,
,,,,,
,,Valley Glass (CRJW),,,
,,,,,
,,WA- Action Drain &Rooter Service,,,
,,,,,
,,Granite Landscape Services Inc.,,,
,,,,,
,,Pro Mechanical Services Inc.,,,
,,,,,
,,The House Wizard,Chuck,509-220-5401,
,,,,,
,,Inland Asphalt,,,
